"BehaviorSpace results (NetLogo 5.0.4)"
"forage_Value_model.nlogo"
"E1"
"05/23/2014 22:34:16:127 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","pref","num-patches","init-seed","[step]","mean edata","standard-deviation edata","mean hdata","standard-deviation hdata"
"49","0.15","7","2","1","73.8591999999999","6.1872231593629365","-0.4132","0.3192611590652526"
"52","0.15","7","3","0","72.76023333333343","8.01264889194572","-0.4730000000000019","0.29946732823578837"
"52","0.15","7","3","1","72.76023333333343","8.01264889194572","-0.4730000000000019","0.29946732823578837"
"51","0.15","7","2","0","68.42336666666661","8.416715021747676","-0.5052000000000001","0.28293641160694205"
"51","0.15","7","2","1","68.42336666666661","8.416715021747676","-0.5052000000000001","0.28293641160694205"
"53","0.15","7","3","0","68.53173333333338","5.297334263704009","-0.4738000000000002","0.2937343014355662"
"53","0.15","7","3","1","68.53173333333338","5.297334263704009","-0.4738000000000002","0.2937343014355662"
"54","0.15","7","3","0","67.35576666666674","9.038449860290648","-0.5214000000000025","0.26745761079762487"
"54","0.15","7","3","1","67.35576666666674","9.038449860290648","-0.5214000000000025","0.26745761079762487"
"55","0.15","7","4","0","72.4630666666666","6.025691883040155","-0.46680000000000027","0.29790351878839205"
"55","0.15","7","4","1","72.4630666666666","6.025691883040155","-0.46680000000000027","0.29790351878839205"
"56","0.15","7","4","0","75.16980000000007","6.781849739586892","-0.42220000000000035","0.2717738416791084"
"56","0.15","7","4","1","75.16980000000007","6.781849739586892","-0.42220000000000035","0.2717738416791084"
"57","0.15","7","4","0","71.89836666666666","6.916272916257951","-0.4476000000000005","0.2900661620706202"
"57","0.15","7","4","1","71.89836666666666","6.916272916257951","-0.4476000000000005","0.2900661620706202"
"59","0.15","7","5","0","72.39686666666672","8.337460250318914","-0.47360000000000047","0.3151545055403203"
"59","0.15","7","5","1","72.39686666666672","8.337460250318914","-0.47360000000000047","0.3151545055403203"
"58","0.15","7","5","0","73.5681666666668","8.485631274842023","-0.44759999999999933","0.3019692458271631"
"58","0.15","7","5","1","73.5681666666668","8.485631274842023","-0.44759999999999933","0.3019692458271631"
"60","0.15","7","5","0","74.46603333333331","7.701804164367923","-0.42839999999999917","0.288021520717457"
"60","0.15","7","5","1","74.46603333333331","7.701804164367923","-0.42839999999999917","0.288021520717457"
"61","0.5","1","1","0","56.71616666666668","11.668895719894241","-0.6302000000000015","0.2856738867477566"
"61","0.5","1","1","1","56.71616666666668","11.668895719894241","-0.6302000000000015","0.2856738867477566"
"62","0.5","1","1","0","56.94720000000001","9.167260449964907","-0.6392000000000015","0.2571565466588194"
"62","0.5","1","1","1","56.94720000000001","9.167260449964907","-0.6392000000000015","0.2571565466588194"
"63","0.5","1","1","0","61.96506666666667","11.755129682278307","-0.5664000000000006","0.3066024217860083"
"63","0.5","1","1","1","61.96506666666667","11.755129682278307","-0.5664000000000006","0.3066024217860083"
"65","0.5","1","2","0","58.08979999999996","11.447676461512991","-0.5915999999999999","0.31678034943757155"
"65","0.5","1","2","1","58.08979999999996","11.447676461512991","-0.5915999999999999","0.31678034943757155"
"66","0.5","1","2","0","53.51109999999997","9.724988315843818","-0.6756000000000009","0.2605235354291669"
"66","0.5","1","2","1","53.51109999999997","9.724988315843818","-0.6756000000000009","0.2605235354291669"
"64","0.5","1","2","0","61.5194000000001","10.268245899236181","-0.6090000000000003","0.31134536440412164"
"64","0.5","1","2","1","61.5194000000001","10.268245899236181","-0.6090000000000003","0.31134536440412164"
"67","0.5","1","3","0","56.58680000000002","9.076576140752824","-0.6443999999999993","0.28974573783334995"
"67","0.5","1","3","1","56.58680000000002","9.076576140752824","-0.6443999999999993","0.28974573783334995"
"68","0.5","1","3","0","54.77460000000002","9.85983694377808","-0.6063999999999998","0.28628831796111"
"68","0.5","1","3","1","54.77460000000002","9.85983694377808","-0.6063999999999998","0.28628831796111"
"69","0.5","1","3","0","56.995533333333306","11.993108633861052","-0.6319999999999991","0.2888935088565672"
"69","0.5","1","3","1","56.995533333333306","11.993108633861052","-0.6319999999999991","0.2888935088565672"
